b;t
1000;838.651137216
2000;1661.93323427
3000;2296.15182482
4000;2826.82662174
5000;3369.25715433
6000;3772.6335988
7000;4178.26245664
8000;4386.91707795
9000;4658.1812124
10000;5346.46781389
11000;5748.30636972
12000;5779.01950484
13000;6205.82751458
14000;5892.64987456
15000;6382.00063399
16000;7059.44657462
17000;6270.47756403
18000;6664.2367428
19000;6960.74034283
20000;7019.75564854
21000;7082.19580883
22000;7457.6703945
23000;7161.76629547
24000;7766.48054779
25000;7513.9806521
26000;7709.57256981
27000;7747.30343766
28000;7499.99278359
29000;7782.44913824
30000;7747.50219349
31000;8184.6517586
32000;8454.99290523
33000;9049.86519554
34000;7851.69090158
35000;7824.67266307
36000;7180.40511205
37000;7185.10321199
38000;6942.73728458
39000;6661.18372146
40000;6589.7988462
41000;6489.14748237
42000;6205.98517736
43000;6127.75238257
44000;4733.62833005
45000;4774.39271485
46000;4533.18415225
47000;4431.12151838
48000;4211.74324939
49000;4219.92497305
50000;4002.24621
51000;3884.0555437
52000;3737.77439215
53000;3767.76461017
54000;3705.96579844
55000;3567.03311911
56000;3393.49886585
57000;3386.48598823
58000;3429.65381267
59000;3265.20726037
60000;3215.10391415
61000;3131.22682658
62000;3182.21764283
63000;3026.86065952
64000;3039.20017549
65000;2981.33191172
66000;6522.23567421
67000;6263.81807138
68000;6070.13055947
69000;6119.83455276
70000;6128.26362273
71000;5860.09906036
72000;6019.55699959
73000;5923.82867024
74000;5859.51474419
75000;5829.60550395
76000;6125.42475019
77000;5955.19531641
78000;5902.14165614
79000;5945.03095641
80000;5935.55458264
81000;5724.20334871
82000;5555.81823762
83000;5723.18822901
84000;5706.99823439
85000;5583.26410681
86000;5583.47826053
87000;5878.20785309
88000;5690.20574457
89000;5649.85611745
90000;5813.70285593
91000;5852.55460104
92000;5576.24231214
93000;5626.89274045
94000;5724.14178796
95000;5736.72936688
96000;5570.0188859
97000;5700.43943465
98000;5713.92338074
99000;5658.51662181
100000;5648.5614484
101000;5668.45239266
102000;5568.02248975
103000;5447.4485511
104000;5559.61784349
105000;5603.9245115
106000;5435.20319073
107000;5450.9522728
108000;5714.58996917
109000;5626.21423539
110000;5493.35841643
111000;5578.04145781
112000;5534.50714107
113000;5477.87888323
114000;5359.45700475
115000;5422.80513786
116000;5503.99348398
117000;5374.95693319
118000;5308.10673531
119000;5580.4862276
120000;5358.74186014
121000;5440.87034923
122000;5432.18554386
123000;5543.95209349
124000;5318.71321577
125000;5225.73306339
126000;5376.49223257
127000;5358.27946108
128000;5327.98334729
129000;5352.04724269
130000;5491.89658494
131000;5403.55586807
132000;5475.90409099
133000;5502.82920381
134000;5354.89827787
135000;5454.69121561
136000;5418.62421126
137000;5290.54803084
138000;5261.82543124
139000;5287.90685978
140000;5354.63408184
141000;5348.13586544
142000;5139.75129742
143000;5226.17701947
144000;5207.8726529
145000;5336.55728247
146000;5321.99223474
147000;5252.566653
148000;5243.68271748
149000;5220.97991646
150000;5403.31918046
151000;5358.97069907
152000;5293.70566915
153000;5225.85540977
154000;5220.87034468
155000;5327.65523988
156000;5295.17408704
157000;5269.23140107
158000;5188.16111326
159000;5239.12158927
160000;5197.10084994
161000;5343.5116415
162000;5330.12167126
163000;5218.31908483
164000;5156.58482803
165000;5269.67750778
166000;5326.63512018
167000;5266.80434045
168000;5262.77693848
169000;5226.98062292
170000;5213.07729707
171000;5274.05979429
172000;5222.00715165
173000;5266.75927344
174000;5199.4578039
175000;5186.36254035
176000;5191.21670168
177000;5291.34192841
178000;5282.22310308
179000;5140.63714272
180000;5177.57602462
181000;5140.09148206
182000;5243.39767748
183000;5251.5339109
184000;5267.12236005
185000;5190.66645483
186000;5224.68751868
187000;5264.14683653
188000;5306.61048665
189000;5283.06201933
190000;5199.2253203
191000;5199.03019526
192000;5148.33876926
193000;5190.1049689
194000;5228.91908926
195000;5198.80678225
196000;5139.36746883
197000;5141.9616614
198000;5232.72178063
199000;5235.99378017
200000;5214.87044196
201000;5140.46236138
202000;5174.25942616
203000;5239.77453018
204000;5235.68173964
205000;5194.92984722
206000;5172.03133053
207000;5199.88128362
208000;5168.01138554
209000;5191.37762183
210000;5235.2841636
211000;5177.41468912
212000;5151.69634165
213000;5090.54093213
214000;5219.689426
215000;5209.65707786
216000;5200.18461848
217000;5134.39157773
218000;5163.42279853
219000;5229.00165656
220000;5211.12470881
221000;5198.69987241
222000;5200.69390955
223000;5099.78792635
224000;5125.06709124
225000;5155.36411405
226000;5218.13139562
227000;5128.59162321
228000;5154.37744592
229000;5150.5420548
230000;5220.50135628
231000;5235.53169895
232000;5231.93901761
233000;5138.31839085
234000;5153.93538198
235000;5163.4710339
236000;5172.65666518
237000;5158.15204756
238000;5099.44146943
239000;5154.34032168
240000;5173.57896664
241000;5170.50499811
242000;5203.12087323
