b;t
10000;5886.74245614
20000;8036.9897006
30000;9214.03167048
40000;7294.44173913
50000;4244.70993042
60000;3356.84188412
70000;6234.40010617
80000;6018.73219731
90000;5950.53966502
100000;5920.49969122
110000;5787.51473148
120000;5576.91390582
130000;5502.46125512
140000;5396.46235497
150000;5333.15475497
160000;5363.34577423
170000;5359.88108057
180000;5342.58979213
190000;5352.93205709
200000;5205.26383556
210000;5268.35941682
220000;5204.98857042
230000;5163.08369962
240000;5293.71482662
250000;5235.51755344
260000;5310.69993608
270000;5226.24553793
280000;5191.45791408
290000;5151.97102846
300000;5117.60528724
310000;5153.26921972
320000;5221.84473678
330000;5184.57804518
340000;5159.30215037
350000;5213.20661414
360000;5137.520689
370000;5155.7889701
380000;5164.83409013
390000;5132.86074917
400000;5157.75686425
410000;5188.99278454
420000;5188.82969072
430000;5177.50273975
440000;5113.05630476
450000;5138.50413476
460000;5118.99136722
470000;5154.20640248
480000;5155.61055058
490000;5143.64826529
500000;5144.80711438
510000;5140.89682914
520000;5105.5756079
530000;5145.04526544
540000;5127.16278438
550000;5119.26147018
560000;5093.99713182
570000;5125.55975881
580000;5152.65304739
590000;5100.70592721
600000;5052.74418371
610000;5110.66255181
620000;5099.58275279
630000;5116.92397216
640000;5124.03638272
650000;5133.66618807
660000;5093.35904324
670000;5088.03201086
680000;5032.97976398
690000;5088.19473216
700000;5085.65603551
710000;5076.15122144
720000;5114.4093231
730000;5124.15362376
740000;5120.96513122
750000;5077.33763745
760000;5057.78824276
770000;5086.0064252
780000;5120.05809361
790000;5044.81897041
800000;5060.76176651
810000;5079.25433003
820000;5063.18889267
830000;5045.09371134
840000;5005.23380777
850000;5042.65685997
860000;5086.91754793
870000;5042.29308921
880000;5073.52236426
890000;5092.89183202
900000;5075.03382909
910000;5051.41372596
920000;5026.8811985
930000;5051.70128455
940000;5078.8883024
950000;5055.38187297
960000;5034.54143242
970000;5073.10899583
980000;5102.34584119
990000;5057.109447
1000000;5023.68259909
1010000;5067.0917385
1020000;5032.79474156
1030000;5041.5469837
1040000;5086.41318806
1050000;5072.47649282
1060000;5048.46498279
1070000;5061.42838373
1080000;5053.69543772
1090000;5073.07453776
1100000;5071.77948471
1110000;5035.88690103
1120000;5062.43198491
1130000;6164.53410722
1140000;5856.54941131
1150000;5046.76913419
1160000;6184.41169732
1170000;5033.97152621
1180000;5026.56211248
1190000;5011.26682731
1200000;5013.1123506
1210000;6107.91872128
1220000;5045.15738723
1230000;5062.6454488
1240000;5003.4567754
1250000;5027.18245288
1260000;5076.67919308
1270000;5024.80660791
1280000;5618.74319205
1290000;5041.95891439
1300000;5017.19660695
1310000;5484.5974072
1320000;4985.1543645
1330000;5648.32230857
1340000;6106.39851696
1350000;6302.39766261
1360000;5745.54957759
1370000;4972.64014711
1380000;4987.89423816
1390000;5445.49451022
1400000;5238.64114416
1410000;5787.015977
1420000;5006.54549123
1430000;4991.97230129
1440000;5865.30493809
1450000;4980.18592558
1460000;4986.07879901
1470000;4917.25800419
1480000;6099.68179819
1490000;4987.26688247
1500000;4941.62126605
1510000;5855.10976137
1520000;4983.41263765
1530000;5762.68061849
1540000;4944.39051574
1550000;4919.53931139
1560000;4969.49316878
1570000;6307.14854714
1580000;5055.76374395
1590000;6109.53872087
1600000;5782.59861594
1610000;4954.95499025
1620000;4911.29199855
1630000;5954.35459801
1640000;5314.52687044
1650000;4945.93646596
1660000;4901.47457937
1670000;5140.43678929
1680000;4911.79521729
1690000;4930.18519214
1700000;5832.27180614
1710000;5741.25262357
1720000;5845.45342618
1730000;5062.72173033
1740000;4918.36755723
1750000;5542.52262967
1760000;4873.19390354
1770000;4909.69430963
1780000;4912.55872347
1790000;5181.59282923
1800000;4926.72696943
1810000;4935.57805977
1820000;5247.94863171
1830000;6083.12757857
1840000;5825.22985069
1850000;5658.42023609
1860000;7183.82130241
1870000;5549.98897375
1880000;4802.79661654
1890000;6838.79723721
1900000;6240.69899909
1910000;6817.79368847
1920000;6525.65302001
1930000;6981.08702204
1940000;6082.27966176
1950000;6726.92753489
1960000;6741.84384623
1970000;6614.02616905
1980000;6472.89315666
1990000;7145.73489004
2000000;5204.96104551
2010000;6582.35045212
2020000;5889.42783882
2030000;5716.42548392
2040000;5849.14155049
2050000;5419.14683789
2060000;6633.7608791
2070000;5917.96487443
2080000;4635.19026117
2090000;6500.47624777
2100000;5420.12285681
2110000;4229.88717409
2120000;5502.96059257
2130000;4404.03858397
2140000;5782.56805621
2150000;14208.8785858
2160000;5666.95907737
2170000;5804.03877484
2180000;5518.67532469
2190000;9317.72092563
2200000;6464.78383361
2210000;7010.33226697
2220000;4680.54282375
2230000;6480.71915469
2240000;5876.8464506
2250000;3961.77010469
2260000;6090.14928183
2270000;6300.25936351
2280000;6284.09182989
2290000;6450.74395282
2300000;7465.37627627
2310000;6407.83200744
2320000;6468.99613504
2330000;4108.07627245
2340000;6444.03716853
2350000;6132.4764412
2360000;6661.06950308
2370000;5542.03208112
2380000;7465.95130744
2390000;5406.53222409
2400000;5700.77952748
2410000;5718.56170851
2420000;5742.59475186
2430000;7648.54085268
2440000;5651.66286405
2450000;5235.86767722
2460000;5420.7127053
2470000;5190.34613226
2480000;5199.79950386
2490000;5802.62423335
2500000;5715.18659195
2510000;7326.64572932
2520000;7316.3744524
2530000;5633.69310394
2540000;5706.13489196
2550000;5543.49216715
2560000;7745.3086804
2570000;5474.97041347
2580000;5739.22265712
2590000;6074.15543456
2600000;6187.45177751
2610000;5465.28339985
2620000;6045.53178538
2630000;5534.88184646
2640000;5688.74407051
2650000;5506.26177258
2660000;5621.28663056
2670000;5414.94913509
2680000;5305.12677964
2690000;5947.83842905
2700000;6012.44115275
2710000;5459.03499797
2720000;5509.77558007
2730000;7636.97445632
2740000;5474.52326307
2750000;5410.02201539
2760000;7211.65201939
2770000;6122.00277561
2780000;7675.89557375
2790000;6211.00099716
2800000;6014.87897567
2810000;6038.58359639
2820000;5757.17556181
2830000;5582.62423375
2840000;6151.11341994
2850000;5551.09673337
2860000;6089.86883188
2870000;6096.65383663
2880000;6992.15050992
2890000;5654.77416605
2900000;6239.28268787
2910000;5836.68706726
2920000;6201.98388657
2930000;5918.4592457
2940000;6388.52656467
2950000;7576.97293325
2960000;5958.7010466
2970000;5506.95786699
2980000;5611.07754328
2990000;5771.26965486
3000000;6403.11023472
3010000;5937.52827383
3020000;6255.49853481
3030000;7438.40132863
3040000;6550.46465861
3050000;5600.51536925
3060000;5838.37386177
3070000;5792.892239
3080000;5633.32927572
3090000;6250.21143124
3100000;7696.39771369
3110000;5895.55569165
3120000;6150.35632881
3130000;6086.39857207
3140000;5806.52878742
3150000;6252.19371211
3160000;5797.5042782
3170000;7634.90225133
3180000;6242.31981513
3190000;7281.04469628
3200000;6243.59252217
3210000;6058.76679623
3220000;6083.45885758
3230000;6216.81333983
3240000;6212.36341029
3250000;6160.60243482
3260000;5986.53413345
3270000;6541.44887114
3280000;7299.76367712
3290000;6319.69895553
3300000;7286.52160695
3310000;6127.81803446
3320000;8163.1680979
3330000;6160.1708278
3340000;5959.60186012
3350000;5971.09452464
3360000;5967.67941987
3370000;6129.9923206
3380000;6471.46147188
3390000;6234.04622695
3400000;5932.89227609
3410000;6032.85378607
3420000;6219.34029429
3430000;6780.76984431
3440000;6011.60090517
3450000;8063.58139486
3460000;6434.35778646
3470000;6859.54277365
3480000;6901.9800133
3490000;6666.94948363
3500000;6415.76137667
3510000;6726.60096636
3520000;6833.87676739
3530000;6240.62934457
3540000;7343.93800516
3550000;5890.81813956
3560000;7207.62541565
3570000;7337.44680888
3580000;6129.44517604
3590000;6755.19975774
3600000;6123.45952577
3610000;6920.41588939
3620000;6564.81030333
3630000;6474.64222302
3640000;6539.40662999
3650000;6787.87767001
3660000;6617.50009403
3670000;6643.81464723
3680000;5763.03878467
3690000;6521.34329212
3700000;6692.34679065
3710000;6137.04763341
3720000;6724.26262134
3730000;6360.78730262
3740000;6664.28982807
3750000;6884.84344436
3760000;6300.82974105
3770000;6702.26412387
3780000;6981.75254022
3790000;6106.51832033
3800000;6841.50513622
3810000;6369.11088294
3820000;6187.68671204
3830000;6348.6173845
3840000;6763.63926353
3850000;6311.07565891
3860000;6495.49185155
3870000;6452.53490553
3880000;6995.95347323
3890000;6899.42334117
3900000;6412.14615479
3910000;6183.90974359
3920000;6940.8004137
3930000;6402.88016703
3940000;7623.58862151
3950000;6772.00589625
3960000;6899.937724
3970000;6827.92424506
