sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
1,33554432,532,1,8873262.957031,225590.353516,1979024.454102,6299631.766602,369015.459961
2,33554432,532,1,8862200.255859,225453.312500,1971082.303711,6296647.695312,369016.161133
0,33554432,524,1,8902508.583984,259633.098633,1991962.881836,6281801.570312,369110.232422
1,33554432,524,1,8868893.199219,225546.559570,1991789.557617,6282570.934570,368985.444336
2,33554432,524,1,8861354.650391,225293.805664,1986627.527344,6280595.894531,368836.625000
0,33554432,516,1,8874941.618164,259435.155273,1982601.640625,6263686.149414,369217.981445
1,33554432,516,1,8848309.200195,225665.812500,1987226.193359,6266090.108398,369326.067383
2,33554432,516,1,8845596.258789,225925.708984,1982905.060547,6267514.006836,369250.803711
0,33554432,508,1,8837966.386719,259284.125977,1957025.229492,6252401.016602,369254.689453
1,33554432,508,1,8813852.818359,225454.903320,1963590.583984,6255771.218750,369035.536133
2,33554432,508,1,8813364.115234,225483.578125,1961261.332031,6257522.835938,369095.475586
0,33554432,500,1,8770095.982422,259382.847656,1901043.024414,6240060.030273,369609.266602
1,33554432,500,1,8740087.795898,225816.128906,1904735.314453,6239822.707031,369712.812500
2,33554432,500,1,8742787.672852,225749.261719,1904812.431641,6242673.851562,369551.401367
0,33554432,493,1,8746630.954102,259330.618164,1883741.660156,6234127.106445,369430.781250
1,33554432,493,1,8721247.445312,225513.670898,1886643.638672,6235985.847656,373103.533203
2,33554432,493,1,8715475.919922,225545.991211,1886632.273438,6233669.987305,369627.005859
0,33554432,486,1,8721465.785156,259462.048828,1873007.759766,6218589.053711,370406.212891
1,33554432,486,1,8693867.262695,225876.565430,1881989.137695,6215993.529297,370007.222656
2,33554432,486,1,8698523.125000,225551.276367,1881629.417969,6220955.119141,370386.397461
0,33554432,479,1,8704474.065430,260249.082031,1869606.276367,6204529.034180,370088.928711
1,33554432,479,1,8677208.604492,225383.347656,1876632.708008,6205089.576172,370102.201172
2,33554432,479,1,8674480.815430,225532.349609,1873574.835938,6205195.239258,370177.331055
0,33554432,472,1,8695512.388672,259330.822266,1871608.787109,6193353.710938,371217.916016
1,33554432,472,1,8661246.286133,226072.230469,1873591.167969,6191466.612305,370115.243164
2,33554432,472,1,8651467.320312,225541.845703,1867546.314453,6188179.292969,370199.118164
0,33554432,466,1,8680733.247070,259251.183594,1872762.748047,6178005.320312,370713.303711
1,33554432,466,1,8651722.170898,225362.081055,1879732.566406,6176015.991211,370610.849609
2,33554432,466,1,8649800.579102,225236.196289,1875756.255859,6178141.351562,370666.040039
0,33554432,459,1,8676700.001953,259261.440430,1880455.417969,6166318.602539,370663.668945
1,33554432,459,1,8649756.324219,225534.766602,1886422.848633,6167161.020508,370636.877930
2,33554432,459,1,8650300.431641,225543.261719,1879749.595703,6174132.424805,370874.114258
0,33554432,453,1,8669438.828125,259567.045898,1888730.655273,6150351.763672,370788.609375
1,33554432,453,1,8647541.719727,225713.790039,1894698.225586,6156117.326172,371010.354492
2,33554432,453,1,8651677.720703,225523.835938,1893797.347656,6161422.772461,370932.907227
0,33554432,447,1,8675191.315430,259400.458008,1898205.792969,6146518.195312,371066.089844
1,33554432,447,1,8648969.810547,225664.423828,1906775.838867,6145257.662109,371271.093750
2,33554432,447,1,8640996.890625,225842.395508,1900013.165039,6143396.149414,371744.392578
0,33554432,441,1,8699091.957031,260851.661133,1928149.200195,6138650.105469,371439.633789
1,33554432,441,1,8658506.243164,225879.635742,1929848.757812,6131532.147461,371244.720703
2,33554432,441,1,8650144.899414,225422.462891,1924327.027344,6129070.104492,371324.315430
0,33554432,435,1,8685005.806641,259531.407227,1938449.045898,6115572.234375,371452.292969
1,33554432,435,1,8664297.629883,225867.669922,1944222.709961,6122540.604492,371665.807617
2,33554432,435,1,8659687.368164,225965.783203,1942634.209961,6119546.108398,371540.118164
0,33554432,430,1,8672122.340820,259342.944336,1929868.300781,6110942.166016,371967.933594
1,33554432,430,1,8645392.447266,225753.180664,1936261.514648,6111458.683594,371918.255859
2,33554432,430,1,8643698.158203,225703.723633,1935599.283203,6110258.058594,372136.375000
0,33554432,424,1,8664408.407227,259502.492188,1935917.555664,6096177.193359,372810.462891
1,33554432,424,1,8644653.712891,225904.325195,1944772.101562,6101284.362305,372692.395508
2,33554432,424,1,8639692.578125,225589.227539,1942387.092773,6098955.589844,372759.633789
0,33554432,419,1,8678616.603516,259321.968750,1953040.343750,6092275.263672,373978.183594
1,33554432,419,1,8645812.030273,225416.217773,1958009.112305,6090089.652344,372296.237305
2,33554432,419,1,8643962.833008,225615.019531,1956843.175781,6089394.740234,372109.060547
0,33554432,414,1,8679635.996094,259277.892578,1964442.066406,6083090.127930,372824.919922
1,33554432,414,1,8658401.142578,225930.839844,1972447.529297,6087358.451172,372663.451172
2,33554432,414,1,8647557.315430,225760.988281,1963757.595703,6085255.048828,372782.958008
0,33554432,409,1,8649518.640625,260670.196289,1941146.697266,6074847.669922,372853.387695
1,33554432,409,1,8629866.958984,225758.165039,1951442.606445,6080014.451172,372650.722656
2,33554432,409,1,8614207.733398,225721.689453,1939471.096680,6076530.039062,372483.990234
0,33554432,404,1,8686989.620117,260896.543945,1986171.125000,6066411.702148,373509.044922
1,33554432,404,1,8662552.191406,225704.070312,1994070.649414,6069553.273438,373223.372070
2,33554432,404,1,8644495.494141,225779.459961,1983484.146484,6062036.957031,373194.099609
0,33554432,399,1,8715561.704102,260701.393555,2028383.104492,6053038.372070,373437.776367
1,33554432,399,1,8679802.419922,225843.304688,2030728.917969,6049881.632812,373347.614258
2,33554432,399,1,8684732.393555,225780.773438,2030864.337891,6054882.522461,373203.945312
0,33554432,394,1,8719900.622070,260854.006836,2045990.800781,6039581.257812,373473.902344
1,33554432,394,1,8681428.834961,225888.866211,2045119.555664,6036808.469727,373611.223633
2,33554432,394,1,8689785.358398,225907.979492,2046304.987305,6042843.394531,374728.306641
0,33554432,390,1,8703515.795898,261037.255859,2035938.437500,6032947.750000,373591.319336
1,33554432,390,1,8664745.796875,225375.583984,2037309.354492,6028499.401367,373560.366211
2,33554432,390,1,8668275.196289,225759.066406,2037470.674805,6031448.348633,373596.251953
0,33554432,385,1,8688148.061523,260869.922852,2027233.074219,6025840.404297,374203.648438
1,33554432,385,1,8655278.447266,225802.420898,2031439.606445,6023861.681641,374174.146484
2,33554432,385,1,8662931.083008,225698.388672,2030886.890625,6032072.781250,374272.421875
0,33554432,381,1,8696180.570312,261129.344727,2039278.375977,6020836.812500,374935.121094
1,33554432,381,1,8661155.420898,225565.912109,2045107.580078,6015581.327148,374899.889648
2,33554432,381,1,8662847.755859,225913.632812,2041459.569336,6020687.291992,374786.503906
0,33554432,377,1,8688220.080078,260913.526367,2049260.089844,6003868.639648,374176.994141
1,33554432,377,1,8660467.647461,225750.346680,2054476.736328,6005865.110352,374374.527344
2,33554432,377,1,8652677.903320,225971.779297,2050567.844727,6001725.246094,374412.284180
0,33554432,372,1,8686246.588867,260833.128906,2060428.465820,5990234.044922,374749.971680
1,33554432,372,1,8657020.716797,225778.155273,2064392.507812,5992044.551758,374804.798828
2,33554432,372,1,8654598.635742,225735.015625,2058329.796875,5995771.532227,374761.711914
0,33554432,368,1,8689665.943359,260902.796875,2070753.915039,5983363.990234,374644.368164
1,33554432,368,1,8658174.948242,225884.874023,2071798.374023,5985673.216797,374817.636719
2,33554432,368,1,8700669.973633,225863.427734,2114479.843750,5985693.904297,374631.949219
0,33554432,364,1,8678675.530273,259919.745117,2075305.031250,5968383.177734,375066.795898
1,33554432,364,1,8652674.396484,225381.537109,2079638.281250,5972670.033203,374983.788086
2,33554432,364,1,8649132.179688,225642.657227,2080583.586914,5967935.343750,374969.802734
0,33554432,360,1,8686832.221680,259348.689453,2090191.943359,5962396.392578,374894.362305
1,33554432,360,1,8653740.560547,225814.127930,2091104.480469,5961747.541016,375073.578125
2,33554432,360,1,8659805.100586,225554.097656,2097325.533203,5961748.322266,375176.101562
0,33554432,356,1,8681493.736328,259417.018555,2097539.919922,5949164.343750,375371.670898
1,33554432,356,1,8660620.249023,225114.790039,2103349.502930,5956957.154297,375197.992188
2,33554432,356,1,8654884.217773,224609.878906,2100955.552734,5953993.625000,375324.062500
0,33554432,353,1,8691630.342773,259298.904297,2113522.817383,5942976.071289,375831.718750
1,33554432,353,1,8652478.155273,225461.793945,2104448.035156,5947184.381836,375383.163086
2,33554432,353,1,8652489.560547,225499.613281,2110291.325195,5941420.333008,375277.319336
0,33554432,349,1,8722942.631836,262597.184570,2151595.397461,5932907.870117,375841.045898
1,33554432,349,1,8702198.492188,228207.630859,2160970.647461,5936805.862305,376213.460938
2,33554432,349,1,8700919.670898,227969.310547,2159401.295898,5937712.737305,375835.513672
0,33554432,345,1,8680437.407227,260645.152344,2114311.050781,5930003.670898,375476.676758
1,33554432,345,1,8652384.226562,225686.681641,2121662.990234,5929291.164062,375742.538086
2,33554432,345,1,8649281.537109,225747.754883,2116118.993164,5931485.430664,375928.540039
0,33554432,342,1,8708436.308594,260916.223633,2150811.864258,5920321.664062,376385.445312
1,33554432,342,1,8671828.243164,225972.463867,2150380.661133,5919322.212891,376152.093750
2,33554432,342,1,8665810.901367,225610.445312,2145494.391602,5918250.908203,376454.372070
0,33554432,338,1,8701065.433594,259289.664062,2152617.188477,5912856.315430,376301.437500
1,33554432,338,1,8669961.940430,225408.907227,2158111.154297,5910445.205078,375995.409180
2,33554432,338,1,8666887.223633,225280.826172,2151531.113281,5914141.544922,375932.883789
0,33554432,335,1,8700610.232422,259342.137695,2167704.584961,5897411.806641,376150.833008
1,33554432,335,1,8667182.054688,225365.999023,2167664.577148,5897975.232422,376175.291016
2,33554432,335,1,8673458.615234,225616.342773,2170280.143555,5901409.453125,376151.815430
0,33554432,167,1,8868016.729980,265027.815918,2807852.725586,5389307.297363,405827.734375
1,33554432,167,1,8848996.169922,227643.218262,2824423.876953,5390786.808105,406141.517090
2,33554432,167,1,8853108.700684,227424.333008,2832566.378418,5387071.208496,406046.067871
0,33554432,111,1,8945661.317871,262987.510742,3146080.142090,5037053.292480,499539.515137
1,33554432,111,1,8966544.023438,226930.647949,3208975.689941,5029707.729980,500929.160156
2,33554432,111,1,8910428.291992,225554.789062,3160574.996094,5024621.120117,499676.526367
0,33554432,83,1,9180679.844238,259578.860840,3550232.729004,4795531.251953,575335.936523
1,33554432,83,1,9271507.106445,226154.928711,3671159.786133,4798553.977051,575637.309082
2,33554432,83,1,9247570.214844,225903.550781,3646273.580078,4799987.490234,575404.784668
0,33554432,67,1,9392637.761230,259279.558105,3888906.850586,4625645.185547,618805.322266
1,33554432,67,1,9448145.971191,225729.886719,3978248.775879,4625571.497559,618595.077148
2,33554432,67,1,9466564.479004,225692.689941,3988658.509277,4632925.916992,619286.395996
0,33554432,55,1,9478959.882324,259604.990234,4101623.082031,4486341.456055,631389.267090
1,33554432,55,1,9586653.458984,225930.246094,4237585.746094,4491548.424805,631588.045898
2,33554432,55,1,9588544.707520,226033.165039,4240918.257812,4490588.591797,631003.936523
0,33554432,47,1,9775981.802246,279598.065430,4477676.193848,4369427.846191,649278.401367
1,33554432,47,1,9883779.629883,243857.964844,4623664.449219,4367769.790527,648486.642090
2,33554432,47,1,9921050.057129,243748.585449,4654735.257324,4372874.616699,649690.716797
0,33554432,41,1,9973071.712891,260043.422363,4785690.731934,4264881.524902,662454.983887
1,33554432,41,1,10094714.897949,226116.600098,4940331.402832,4266096.162598,662169.896973
