b;t
10000;632.207856806
20000;1051.4510615
30000;1361.23456389
40000;1745.35407022
50000;1705.00162602
60000;1664.1999752
70000;2013.12212556
80000;2016.03797221
90000;2132.32048014
100000;2203.90357964
110000;2119.7343977
120000;2130.72196851
130000;2159.17641876
140000;1918.7666619
150000;1851.2790069
160000;1900.93267947
170000;1943.03106191
180000;2035.82969917
190000;2122.28431425
200000;2175.85682095
210000;2217.77660556
220000;2239.8467845
230000;2270.86048551
240000;2249.77334265
250000;2244.59375209
260000;2280.07901209
270000;2305.41297538
280000;2338.87004232
290000;2351.28314123
300000;2380.30967132
310000;2372.55492273
320000;2423.24943354
330000;2465.45228166
340000;2470.17578868
350000;2514.92075593
360000;2533.07376566
370000;2555.47570421
380000;2597.80658279
390000;2490.36176412
400000;2488.39356663
410000;2521.15583818
420000;2538.33959654
430000;2608.87908146
440000;2608.58696586
450000;2603.81003621
460000;2542.00242424
470000;2638.65529594
480000;2670.0032923
490000;2705.66860246
500000;2692.64791558
510000;2669.69739782
520000;2606.75351311
530000;2607.31575853
540000;2645.16690219
550000;2657.77679208
560000;2689.34906541
570000;2665.36964638
580000;2606.08222825
590000;2253.3209891
600000;2674.72554803
610000;2711.02033377
620000;2754.73355932
630000;2798.7015073
640000;2722.55541568
650000;2679.98412435
660000;2646.50156788
670000;2710.65192946
680000;2692.67015902
690000;2708.0598959
700000;2728.79493465
710000;2719.36155238
720000;2760.81376339
730000;2797.55993033
740000;2793.13587896
750000;2817.41151446
760000;2838.13675969
770000;2746.48942465
780000;2745.17064821
790000;2757.08578501
800000;2774.526677
810000;2689.13524488
820000;2767.93262311
830000;2782.86113862
840000;2769.55123121
850000;2793.05363561
860000;2803.46941151
870000;2804.26088761
880000;2828.41065734
890000;2839.54021869
900000;2750.23804016
910000;2632.40080348
920000;2696.72431719
930000;2778.21645352
940000;2768.77267145
950000;2799.02624577
960000;2795.4140299
970000;2797.46440963
980000;2802.15963869
990000;2819.58050163
1000000;2826.94570117
1010000;2822.28317122
1020000;2820.2229479
1030000;2780.56759805
1040000;2793.29298647
1050000;1463.88921159
1060000;2746.27529543
1070000;2775.93445366
1080000;2798.63203475
1090000;2750.25986991
1100000;2792.55330723
1110000;2772.01001172
1120000;2797.13920881
1130000;2805.40920869
1140000;2823.96755232
1150000;2808.1576858
1160000;2762.71075291
1170000;2700.32571723
1180000;2797.33859159
1190000;2770.15967393
1200000;1565.44951742
1210000;3019.38109357
1220000;2753.1841641
1230000;3000.77806853
1240000;2776.47069249
1250000;2863.64142216
1260000;2786.84866075
1270000;2748.85525818
1280000;2762.12566063
1290000;2735.71819937
1300000;2747.59143361
1310000;2775.32593058
1320000;2745.24917813
1330000;2913.96634411
1340000;2879.83980529
1350000;2734.21860598
1360000;2718.61713179
1370000;3093.51089098
1380000;2743.64106475
1390000;2726.84627973
1400000;2784.22882544
1410000;2751.32293091
1420000;2564.78500552
1430000;1332.07955804
1440000;3090.94225591
1450000;3074.01209288
1460000;2663.30351713
1470000;2760.29072106
1480000;2736.00591491
1490000;2949.75315604
1500000;2837.38414488
1510000;2732.52665237
1520000;2738.25494685
1530000;2782.90203196
1540000;2931.30771801
1550000;2717.88093645
1560000;3044.59227989
1570000;2722.57465258
1580000;2687.41617336
1590000;2715.6096904
1600000;2788.9398026
1610000;2893.70804649
1620000;2714.82088325
1630000;1459.54044979
1640000;2689.40539452
1650000;2981.81299583
1660000;2910.38258589
1670000;2726.14456045
1680000;2718.39927473
1690000;2732.53777039
1700000;3019.60136045
1710000;2926.89300363
1720000;2735.63175049
1730000;2758.99084411
1740000;2875.42135116
1750000;3026.38832124
1760000;2720.02396518
1770000;2666.99648121
