b;t
10000;7540.321798
20000;8336.504845
30000;7713.662529
40000;8109.832508
50000;7867.393200
60000;8175.699168
70000;41207.197193
80000;43648.041626
90000;45412.013233
100000;47259.763380
110000;47934.902857
120000;49405.298650
130000;49852.298971
140000;43800.657156
150000;44247.602637
160000;45115.202689
170000;44915.381417
180000;45583.379321
190000;45701.376918
200000;45964.975342
210000;46055.102745
220000;46869.682794
230000;46772.844606
240000;46820.137674
250000;47326.420310
260000;47157.580108
270000;47682.613895
280000;48057.498517
290000;48837.065395
300000;49344.752941
310000;49181.436974
320000;49481.190046
330000;49654.540628
340000;50037.310877
350000;50295.722484
360000;50754.603025
370000;50881.720656
380000;50951.784855
390000;51068.208702
400000;51130.563048
410000;51429.222879
420000;51386.915005
430000;51714.715986
440000;51803.333614
450000;52067.222069
460000;52057.466172
470000;52134.158810
480000;52292.621299
490000;52445.523700
500000;52387.871975
510000;52654.647138
520000;52555.134458
530000;52967.532271
540000;53097.123165
550000;53145.968611
560000;53155.535842
570000;53649.442468
580000;53761.244641
590000;53650.717832
600000;53974.957641
610000;54041.461439
620000;54035.708675
630000;54342.653368
640000;54160.999950
650000;54254.678607
660000;54279.228235
670000;54766.064409
680000;54586.157321
690000;54669.558630
700000;54591.754561
710000;54704.125649
720000;54689.736367
730000;54798.065682
740000;54602.044376
750000;55188.210526
760000;54723.966352
770000;55030.697849
780000;55041.970473
790000;55138.848216
800000;55233.632922
810000;55102.057618
820000;55333.603298
830000;55423.240915
840000;55320.358940
850000;55651.253073
860000;55334.250278
870000;55737.194921
880000;55634.291399
890000;55741.380271
900000;55769.139058
910000;55770.836749
920000;55646.827292
930000;55924.053333
940000;55874.519185
950000;55826.112785
960000;56167.837350
970000;55948.086016
980000;56043.192774
990000;56018.360337
1000000;55807.787110
1010000;56202.282454
1020000;55969.780278
1030000;55788.644003
1040000;55968.900209
1050000;56012.962798
1060000;56211.296594
1070000;56186.607574
1080000;56097.192817
1090000;56333.201201
1100000;56458.700115
1110000;56389.734322
1120000;56049.163072
1130000;56465.388176
1140000;56753.787062
1150000;56455.884126
1160000;56389.918319
1170000;56446.708037
1180000;56542.991446
1190000;56397.985989
1200000;56532.563566
1210000;56586.568251
1220000;56444.546074
1230000;56498.222259
1240000;56551.132423
1250000;56584.202361
1260000;56692.704418
1270000;56743.180613
1280000;56587.184401
1290000;56508.116554
1300000;56357.573127
1310000;56626.481056
1320000;56657.307630
1330000;56832.084763
1340000;56557.155824
1350000;56552.413483
1360000;56776.395048
1370000;56700.057774
1380000;56903.368553
1390000;56844.193151
1400000;56614.889786
1410000;56830.929874
1420000;56605.041212
1430000;56801.228482
1440000;56861.879470
1450000;56822.103825
1460000;56815.854706
1470000;57254.805618
1480000;56884.947721
1490000;56894.570333
1500000;56920.156064
1510000;57009.499094
1520000;56780.113153
1530000;56947.621697
1540000;56909.499207
1550000;57231.768473
1560000;57129.510417
1570000;57106.187794
1580000;56945.222943
1590000;56651.496554
1600000;56886.984053
1610000;57091.292491
1620000;56815.447964
1630000;56883.748476
1640000;56966.116439
1650000;57077.126598
1660000;57452.663352
1670000;57355.068004
1680000;57229.894173
1690000;57193.131699
1700000;57257.249084
1710000;56908.582911
1720000;57213.009209
1730000;57332.510973
1740000;57127.897926
1750000;57037.645459
1760000;57238.478624
1770000;57079.620029
1780000;57264.514823
1790000;57284.151912
1800000;57127.432112
1810000;57026.781146
1820000;57449.733057
1830000;57253.716140
1840000;57259.591820
1850000;57544.101228
1860000;57548.403430
1870000;57394.729330
1880000;57504.404886
1890000;57326.893993
1900000;57152.327028
1910000;57247.847360
1920000;57521.883429
1930000;57731.271460
1940000;57403.525644
1950000;57370.576414
1960000;57488.362517
1970000;57467.707924
1980000;57298.641966
1990000;57439.414778
2000000;57616.539171
2010000;57387.286382
2020000;57392.000542
2030000;57602.957260
2040000;57473.586297
2050000;57574.041096
2060000;57362.763419
2070000;57498.074702
2080000;57549.551482
2090000;57731.025215
2100000;57334.668186
2110000;57654.602215
2120000;57564.552571
2130000;57360.305104
2140000;57399.268169
2150000;57759.830905
2160000;57464.874624
2170000;57719.474784
2180000;57870.776709
2190000;58044.396588
2200000;57829.808382
2210000;57618.721616
2220000;57655.448173
2230000;57669.659622
2240000;57288.054634
2250000;57830.311758
2260000;57700.602108
2270000;57323.469908
2280000;57793.469280
2290000;57937.530089
2300000;57765.863473
2310000;57736.117631
2320000;57674.593251
2330000;57709.412482
2340000;58096.463840
2350000;57630.487996
2360000;57686.002200
2370000;57646.976325
2380000;57785.490709
2390000;57621.765748
2400000;57759.108338
2410000;57885.598511
2420000;57939.154791
2430000;57532.030171
2440000;57850.425070
2450000;57964.645443
2460000;57813.974940
2470000;58242.759691
2480000;57718.044987
2490000;57900.579127
2500000;58072.744894
2510000;57784.990957
2520000;58055.041977
2530000;58105.895250
2540000;57625.596538
2550000;57911.202437
2560000;58059.713363
2570000;57934.088169
2580000;57732.867329
2590000;57840.917724
2600000;57871.657181
2610000;58219.755706
2620000;57989.849499
2630000;57953.148028
2640000;57897.843451
2650000;58441.830299
2660000;57798.147398
2670000;58270.135571
2680000;57951.266480
